Response ID,Column1,Status,City,State/Region,Professional Development,Monitoring,Cross-functional networking,Social activities & events,"I wish I had time, but I'm too busy",Clubs,Sports Leagues,Social Outings,Other interested Activities,Focus Areas in Future,Preferred Frequency,Preferred Hours,additional ideas or requests.
108,,Complete,,,Professional Development,,Cross-functional networking,Social activities & events,,3,4,1,In the building fun things to take a quick break from work and connect. ,Sense of belonging,Monthly,Over the lunch hour,Fun lunch or afternoon quick breaks for people to connect for 30 min and the. Go back to work.  
34,,Complete,,FL,,,,Social activities & events,,3,4,5,kids event ,Engagement & culture,Quarterly,Afternoon during work hours,I would just love to see more opportunities for the entire company to get together. 
154,,Complete,,FL,Professional Development,,,Social activities & events,"I wish I had time, but I'm too busy",2,5,4,Large events like Pins,Engagement & culture,Quarterly,Afternoon during work hours,"I like the food truck events, too."
51,,Partial,Lisle,IL,,,,,,,,3,"EAG executive sponsorship
Leveraging individual EAGs to determine how the company can better meet needs of specific groups.",Engagement & culture,Quarterly,Afternoon during work hours,"In previous jobs, my companies had EAGs specific to specific cultures or ethnicities, disability, veterans, LGBTQ, etc.  Being more specific does increase representation and spark deeper discussion.  "
24,,Complete,,FL,Professional Development,Mentoring,Cross-functional networking,,,2,5,4,lunch and learn,Engagement & culture,Quarterly,Over the lunch hour,
1,,Complete,,FL,,,,,,2,4,3,none of the above,,,,
50,,Complete,,FL,,Mentoring,Cross-functional networking,Social activities & events,,2,3,5,Other could be company gatherings.,Engagement & culture,Monthly,After 5:00 pm,
10,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,2,3,1,park day,Engagement & culture,Quarterly,Afternoon during work hours,the PINS event was really fun since it brought the whole company together
37,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,4,1,5,"quit wasting money on decorated cookies or cheap treats. let people leave early or sponsor events during work hours
Pins during the afternoon is a nice break and way to meet/network with other groups",Engagement & culture,Quarterly,Afternoon during work hours,"Asking employees what improvements will help, then giving EAG impossible tasks without leadership support is really quite useless. Leadership needs to support these initiatives otherwise EAG is set up for failure. "
159,,Complete,,FL,Professional Development,Mentoring,,Social activities & events,,4,3,5,Retention,Other - Write In (Required),Quarterly,Afternoon during work hours,
75,,Partial,,FL,Professional Development,Mentoring,,,,,1,2,Self-help and relaxation meeting.,Sense of belonging,Annually,"Early morning, prior to 9:00 am","I feel very good in this company, and I think we are doing very well; I can't think of anything that could be improved."
76,,Complete,Denver,CO,Professional Development,Mentoring,,,,3,4,5,Social activities are difficult for those who work remotely- or are not in the main office.  Other types of engagement would be appreciated.,Engagement & culture,Quarterly,Afternoon during work hours,Something for remote employees would be appreciated.
131,,Complete,,FL,,,,Social activities & events,,2,4,3,"Sounds games, park day, Preds games, etc.",Engagement & culture,Monthly,Afternoon during work hours,More social activities
125,,Complete,Austin,TX,Professional Development,Mentoring,Cross-functional networking,Social activities & events,,4,3,1,"Team building, charity events",Engagement & culture,Monthly,Afternoon during work hours,Consider how to include employees/companies that aren't in Nashville.
157,,Complete,Lake Dallas,TX,Professional Development,Mentoring,Cross-functional networking,,,5,4,3,This question is not well-formed.,Professional development,Quarterly,Afternoon during work hours,But I have none.
69,,Complete,Austin,TX,Professional Development,,Cross-functional networking,Social activities & events,,2,1,3,travel ,Engagement & culture,Quarterly,Over the lunch hour,"In some cities, there's an annual Corporate Olympics that is really fun - not sure if HealthTrust would be interested in participating or being a sponsor.  There are a lot of different events and for the non-athletic, there's the opportunity to help out as score keepers and organizers."
60,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,3,4,2,Volunteer activity as a company ,Engagement & culture,Quarterly,Over the lunch hour,"More courses on financial planning, estate and wills, etc."
122,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,2,5,3,Volunteer activity at Project Cure warehouse located off Charlotte Ave. This activity has 2 benefits. #1 Serves Pjt Cure function. #2 demonstrates the amount of usable waste in medical supply chains.,Sense of belonging,Quarterly,Afternoon during work hours,Group discount tickets to TPAC or the Symphony. Symphony has a program for young professionals that includes social time along with the program. TPAC needs support as they grow and plan their move to an East Nashville new facility.
39,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,4,1,3,"we need to get plugged in, we need another all hands FUN event like the Baseball game.",Professional development,Monthly,Afternoon during work hours,More professional development.
68,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,5,2,3,Wellness activities like yoga or meditation during the lunch hour.,Engagement & culture,Monthly,Over the lunch hour,Wellness activities like yoga or meditation during the lunch hour.
168,,Complete,,FL,Professional Development,Mentoring,,,"I wish I had time, but I'm too busy",1,2,3,,,,,
2,,Complete,,FL,Professional Development,,,Social activities & events,"I wish I had time, but I'm too busy",2,3,1,Would like to see leaders encourage participation in the events that take place. ,Engagement & culture,Quarterly,Afternoon during work hours,
111,,Complete,Austin,TX,Professional Development,,,Social activities & events,,3,5,4,Volunteer opportunities,Professional development,Quarterly,Over the lunch hour,Hear more from leaders on how they got where they are today
91,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,3,4,5,,Professional development,Quarterly,Over the lunch hour,"I don't know what this bucket would be called but offering classes such as CPR through the American Heart Association, identity-theft mitigation (Joey Tamboli has done this in the past and it was a great session) and self-defense classes as crime in Nashville continues to increase (we had an assault/car jacking) in our own parking garage). Continue to offer cyber-crime mitigation course. Self-defence classes may need to be on a more frequent cadence than quarterly if, for example, 6 sessions to complete a course successfully, maybe that is held a certain number of times per year and would occur every other week until the 6 class cycle was complete."
155,,Partial,Fullerton,CA,Professional Development,Mentoring,Cross-functional networking,Social activities & events,"I wish I had time, but I'm too busy",4,3,5,,Sense of belonging,Quarterly,Over the lunch hour,
129,,Complete,,FL,Professional Development,,,Social activities & events,,3,2,1,"I am open to all activities, I do enjoy team building activities after work hours as well",Sense of belonging,Monthly,Over the lunch hour,"Keep going and keep being open to new ideas, culture and fun!"
17,,Complete,,FL,,Mentoring,,,"I wish I had time, but I'm too busy",3,2,4,DEI,Sense of belonging,No preference,Afternoon during work hours,More chargers for electric vehicles would be very helpful
26,,Complete,,FL,Professional Development,Mentoring,,,"I wish I had time, but I'm too busy",1,2,3,,Sense of belonging,No preference,After 5:00 pm,
Total,,,,,107,50,80,115,31,,,,,,,,72
161,,Partial,Antioch,TN,Professional Development,,,Social activities & events,,3,5,4,,Engagement & culture,Monthly,Over the lunch hour,nashville sports league team 
167,,Complete,,FL,Professional Development,Mentoring,,,"I wish I had time, but I'm too busy",2,1,3,,Professional development,Annually,Over the lunch hour,Don't care about break room treats or holiday celebrations. Focus on employee feedback and resolution reporting.
110,,Complete,Cape Girardeau,MO,,,,,"I wish I had time, but I'm too busy",2,3,5,,Professional development,Annually,Afternoon during work hours,
71,,Complete,,FL,,,,,"I wish I had time, but I'm too busy",1,4,2,,Sense of belonging,Annually,"Early morning, prior to 9:00 am",
152,,Complete,Nashville,TN,Professional Development,,Cross-functional networking,Social activities & events,,4,3,5,,Engagement & culture,Monthly,Over the lunch hour,
20,,Complete,,FL,Professional Development,Mentoring,,Social activities & events,,2,1,3,,Engagement & culture,Monthly,Over the lunch hour,More opportunity to connect with people in the Capitol View building. 
25,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,3,4,5,,Engagement & culture,Monthly,Afternoon during work hours,
12,,Complete,,FL,Professional Development,Mentoring,Cross-functional networking,Social activities & events,,3,5,4,,Engagement & culture,Monthly,After 5:00 pm,
7,,Complete,,FL,,Mentoring,Cross-functional networking,Social activities & events,,3,4,5,,Engagement & culture,Monthly,Afternoon during work hours,I like the idea of more networking events.
79,,Complete,,FL,,,,Social activities & events,,2,3,1,,Engagement & culture,Monthly,Over the lunch hour,"I like the Lunch and Learn events. That's a very convenient time of day and amount of time for me to be able to attend them. I also like the larger events such as the annual company event (Pins, Sounds game and the smaller holiday events we do onsite (the winter contests, lucky grams"
100,,Complete,,FL,,Mentoring,Cross-functional networking,Social activities & events,,2,3,1,,Engagement & culture,Monthly,After 5:00 pm,
123,,Complete,,FL,Professional Development,Mentoring,Cross-functional networking,,,5,3,4,,Engagement & culture,Monthly,After 5:00 pm,
127,,Complete,,FL,,,,Social activities & events,,4,3,5,,Engagement & culture,Monthly,After 5:00 pm,
38,,Complete,,FL,,,,Social activities & events,,2,1,3,,Engagement & culture,Monthly,Afternoon during work hours,
132,,Partial,,FL,,,,Social activities & events,,3,4,5,,Engagement & culture,Monthly,Afternoon during work hours,"Social outings, work life balance "
118,,Partial,,FL,Professional Development,,Cross-functional networking,Social activities & events,,,,1,,Engagement & culture,Monthly,After 5:00 pm,
62,,Partial,,FL,Professional Development,,Cross-functional networking,Social activities & events,,,,5,,Engagement & culture,Monthly,After 5:00 pm,
16,,Partial,,FL,,,,Social activities & events,,,,,,Engagement & culture,Monthly,Afternoon during work hours,
98,,Partial,,FL,,,Cross-functional networking,Social activities & events,,,,5,,Engagement & culture,Monthly,Afternoon during work hours,
88,,Partial,,FL,Professional Development,,,Social activities & events,"I wish I had time, but I'm too busy",3,,,,Engagement & culture,Monthly,"Early morning, prior to 9:00 am",
23,,Partial,,FL,,,,Social activities & events,,,,4,,Other - Write In (Required),Monthly,Afternoon during work hours,
4,,Partial,Nashville,TN,Professional Development,,Cross-functional networking,Social activities & events,,4,3,5,,Other - Write In (Required),Monthly,After 5:00 pm,
169,,Partial,,FL,Professional Development,,Cross-functional networking,Social activities & events,,,3,5,,Professional development,Monthly,Over the lunch hour,
6,,Complete,,FL,Professional Development,Mentoring,,,,2,3,1,,Professional development,Monthly,Over the lunch hour,"I would love to participate in some sort of leadership to young professionals connection event. As a young professional myself, I think there is a wealth of knowledge I could tap into from our leaders, would just love a forum to do so. "
9,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,3,4,5,,Professional development,Monthly,Afternoon during work hours,
96,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,1,2,3,,Professional development,Monthly,Over the lunch hour,
101,,Complete,,FL,,,,,"I wish I had time, but I'm too busy",2,1,4,,Professional development,Monthly,Over the lunch hour,
92,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,1,3,2,,Professional development,Monthly,Over the lunch hour,
46,,Complete,,FL,Professional Development,,,Social activities & events,"I wish I had time, but I'm too busy",3,4,5,,Professional development,Monthly,Over the lunch hour,
48,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,1,3,2,,Professional development,Monthly,Over the lunch hour,"Note - I think lunch hour would work well for book club like activities but after 5pm would work better for trivia, happy hour, pickleball etc."
94,,Partial,,FL,Professional Development,Mentoring,Cross-functional networking,,,2,3,1,,Professional development,Monthly,Afternoon during work hours,Professional development opportunities are non-existent. A sense of being invested in and uniquely valued means a lot to me.
126,,Complete,,FL,,,,Social activities & events,,3,4,5,,Professional development,Monthly,Afternoon during work hours,Sounds game Predators games Happy hour
84,,Partial,,FL,Professional Development,,Cross-functional networking,,,,5,,,Professional development,Monthly,Afternoon during work hours,
115,,Partial,,FL,Professional Development,Mentoring,Cross-functional networking,,,1,2,5,,Professional development,Monthly,Over the lunch hour,
32,,Complete,Denver,CO,,,,Social activities & events,,3,5,4,,Sense of belonging,Monthly,Afternoon during work hours,
97,,Complete,,FL,Professional Development,Mentoring,,Social activities & events,,5,2,3,,Sense of belonging,Monthly,Afternoon during work hours,"Having these engagement events more frequently is a great way to connect with people in other departments that I don't see often, and break up the everyday work routine. I am very excited about the EAG's progress to increase engagement and culture! Thank you for all you do."
158,,Complete,,FL,,Mentoring,,Social activities & events,,3,4,5,,Sense of belonging,Monthly,Afternoon during work hours,lunch buddy tables
15,,Complete,,FL,,,,Social activities & events,,3,4,5,,Sense of belonging,Monthly,Afternoon during work hours,
74,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,3,2,1,,Sense of belonging,Monthly,After 5:00 pm,
14,,Partial,,FL,,Mentoring,Cross-functional networking,Social activities & events,,2,3,1,,Sense of belonging,Monthly,Afternoon during work hours,
44,,Partial,,FL,,,,Social activities & events,,4,1,3,,Sense of belonging,Monthly,Afternoon during work hours,
134,,Complete,,FL,,,,,"I wish I had time, but I'm too busy",4,3,5,,Engagement & culture,No preference,Over the lunch hour,
103,,Complete,,FL,Professional Development,Mentoring,,Social activities & events,,3,2,5,,Engagement & culture,No preference,Afternoon during work hours,
21,,Partial,,FL,Professional Development,,Cross-functional networking,Social activities & events,,3,2,1,,Engagement & culture,No preference,Over the lunch hour,
141,,Complete,,FL,,,Cross-functional networking,Social activities & events,,5,4,1,,Other - Write In (Required),No preference,Afternoon during work hours,
63,,Partial,,FL,,,,,,,,,,Other - Write In (Required),No preference,Afternoon during work hours,
28,,Partial,,FL,Professional Development,,,,"I wish I had time, but I'm too busy",,,,,Professional development,No preference,"Early morning, prior to 9:00 am",
54,,Complete,,FL,,,,,"I wish I had time, but I'm too busy",2,4,5,,Professional development,No preference,Afternoon during work hours,
52,,Partial,Denver,CO,Professional Development,,Cross-functional networking,,,,,,,Professional development,No preference,"Early morning, prior to 9:00 am",Curious what percent of the workforce is remote.  I wonder what can be done to engage this group.
73,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,1,4,5,,Professional development,No preference,Afternoon during work hours,
139,,Complete,,FL,,,,,"I wish I had time, but I'm too busy",4,3,2,,Professional development,No preference,Afternoon during work hours,
72,,Complete,,FL,Professional Development,Mentoring,Cross-functional networking,,,2,3,1,,Professional development,No preference,Afternoon during work hours,
144,,Partial,,FL,Professional Development,,,,,4,3,2,,Professional development,No preference,Over the lunch hour,
149,,Partial,,FL,Professional Development,,,,,4,3,2,,Professional development,No preference,Over the lunch hour,
135,,Partial,,FL,,,Cross-functional networking,Social activities & events,,2,3,1,,Professional development,No preference,Over the lunch hour,
109,,Partial,Spring Hill,TN,,,,,"I wish I had time, but I'm too busy",2,1,3,,Professional development,No preference,"Early morning, prior to 9:00 am",
43,,Partial,,FL,,,Cross-functional networking,,,,,,,Professional development,No preference,Over the lunch hour,
166,,Partial,,FL,Professional Development,,Cross-functional networking,Social activities & events,,2,5,1,,Sense of belonging,No preference,Afternoon during work hours,
90,,Complete,,FL,Professional Development,,Cross-functional networking,,,5,1,4,,Engagement & culture,Quarterly,Afternoon during work hours,
119,,Complete,,FL,,,Cross-functional networking,Social activities & events,,3,2,1,,Engagement & culture,Quarterly,Over the lunch hour,
137,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,2,4,1,,Engagement & culture,Quarterly,Afternoon during work hours,"One thing that a previous employer of mine did that I thought was neat (and miss) was to have a week dedicated towards fun events for charity (tug of war, various games, karaoke contest, etc). A lot of it was very team based and helped foster a healthy team/tribal culture among the different work groups. It was a great way for cross-functioning networking too. I miss that, but I still feel like I made the right choice by onboarding with HealthTrust."
130,,Complete,,FL,,,Cross-functional networking,Social activities & events,,4,3,1,,Engagement & culture,Quarterly,Afternoon during work hours,I love where I work and the team I am on. I have no complaints.
81,,Complete,Plymouth,MI,Professional Development,Mentoring,,,,4,5,3,,Engagement & culture,Quarterly,Afternoon during work hours,
29,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,2,5,1,,Engagement & culture,Quarterly,Afternoon during work hours,"I feel like the big social events are what people look forward to the most. Nothing EAG does will ever serve the entirety of the org. Pins event is awesome, love cookies and treats for special things, Spooktacular people seemed to really respond well to because they got to include their kiddos. I think focusing on a few bigger things, and then some small things spread out here and there are the most impactful. the food trucks were fun too when we split that with DEI"
19,,Partial,,FL,Professional Development,Mentoring,,Social activities & events,,,5,,,Engagement & culture,Quarterly,Afternoon during work hours,
106,,Complete,,FL,,,Cross-functional networking,Social activities & events,"I wish I had time, but I'm too busy",3,1,2,,Engagement & culture,Quarterly,Afternoon during work hours,
133,,Partial,,FL,Professional Development,,,Social activities & events,"I wish I had time, but I'm too busy",1,4,2,,Engagement & culture,Quarterly,Over the lunch hour,Any activity that brings people from different departments together.  Face to face greets so we can put a face to a name on an email
120,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,2,3,1,,Engagement & culture,Quarterly,Over the lunch hour,Ensure we know about the events ahead of time 
136,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,2,3,1,,Engagement & culture,Quarterly,Afternoon during work hours,I think the EAG is great!
35,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,4,3,5,,Engagement & culture,Quarterly,After 5:00 pm,I think these are all great suggestions
87,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,1,3,2,,Engagement & culture,Quarterly,Afternoon during work hours,"I'm relatively new to HealthTrust, but so far my impression is that attendance to monthly, lunch-hour events is kind of low because we are all immersed in our workday at that point. I'd love to connect with my colleagues at one or two social outings during the year that took place toward the tail end of the day. Thanks to the EAG for all that they do! "
77,,Complete,,FL,,,,Social activities & events,,3,2,1,,Engagement & culture,Quarterly,Afternoon during work hours,Loved Pins Mechanical last year.  
162,,Complete,,FL,,,Cross-functional networking,Social activities & events,,1,5,4,,Engagement & culture,Quarterly,Afternoon during work hours,More gatherings/events to get to know others in the building
5,,Partial,,FL,,Mentoring,Cross-functional networking,Social activities & events,,3,2,4,,Engagement & culture,Quarterly,After 5:00 pm,
64,,Complete,,FL,Professional Development,Mentoring,,Social activities & events,,5,4,3,,Engagement & culture,Quarterly,After 5:00 pm,
164,,Complete,Franklin,TN,Professional Development,Mentoring,,Social activities & events,,3,4,5,,Engagement & culture,Quarterly,After 5:00 pm,
31,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,1,2,4,,Engagement & culture,Quarterly,Afternoon during work hours,
30,,Complete,,FL,Professional Development,,,Social activities & events,,3,4,5,,Engagement & culture,Quarterly,Afternoon during work hours,
78,,Partial,,FL,Professional Development,,Cross-functional networking,Social activities & events,,3,1,4,,Engagement & culture,Quarterly,Afternoon during work hours,
22,,Complete,Austin,TX,Professional Development,,,,,3,5,4,,Engagement & culture,Quarterly,Afternoon during work hours,
27,,Complete,,FL,Professional Development,,,,,1,3,2,,Engagement & culture,Quarterly,Afternoon during work hours,
163,,Complete,Austin,TX,Professional Development,,Cross-functional networking,Social activities & events,,2,3,1,,Engagement & culture,Quarterly,Afternoon during work hours,
165,,Complete,,FL,,,Cross-functional networking,Social activities & events,,1,2,3,,Engagement & culture,Quarterly,Over the lunch hour,
143,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,3,2,1,,Engagement & culture,Quarterly,After 5:00 pm,
153,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,5,3,4,,Engagement & culture,Quarterly,Over the lunch hour,The baseball game was fun. Maybe a soccer game?
105,,Partial,,FL,,,,Social activities & events,,1,3,2,,Engagement & culture,Quarterly,After 5:00 pm,
140,,Partial,,FL,Professional Development,,,Social activities & events,,2,3,1,,Engagement & culture,Quarterly,Afternoon during work hours,
8,,Partial,,FL,,,Cross-functional networking,Social activities & events,"I wish I had time, but I'm too busy",1,3,4,,Engagement & culture,Quarterly,Afternoon during work hours,
13,,Partial,,FL,Professional Development,Mentoring,,Social activities & events,,,,3,,Engagement & culture,Quarterly,Over the lunch hour,
58,,Partial,Austin,TX,,Mentoring,Cross-functional networking,,"I wish I had time, but I'm too busy",3,2,1,,Engagement & culture,Quarterly,Over the lunch hour,
59,,Complete,,FL,Professional Development,,,Social activities & events,"I wish I had time, but I'm too busy",3,2,1,,Other - Write In (Required),Quarterly,Afternoon during work hours,
49,,Complete,,FL,,,,Social activities & events,,4,5,3,,Professional development,Quarterly,Over the lunch hour,I would really to see HealthTrust move to a Hybrid work schedule (Maybe 2 days from home; 3 days in the office).
86,,Complete,,FL,Professional Development,,,,,5,4,3,,Professional development,Quarterly,Over the lunch hour,Continuing education for employees who have requirements for licensure would be helpful.
112,,Complete,,,Professional Development,Mentoring,Cross-functional networking,,,3,1,2,,Professional development,Quarterly,Afternoon during work hours,"Increased integration and collaboration between affiliates and teams to streamline processes, increase efficiencies, and leverage resources/expertise"
18,,Complete,Austin,TX,Professional Development,Mentoring,Cross-functional networking,,,1,3,2,,Professional development,Quarterly,Over the lunch hour,Maybe have the activities more than once to include all the staff.
160,,Complete,Austin,TX,Professional Development,Mentoring,,Social activities & events,,3,1,2,,Professional development,Quarterly,After 5:00 pm,
114,,Complete,Austin,TX,,Mentoring,,,,5,3,4,,Professional development,Quarterly,Over the lunch hour,
99,,Complete,,FL,Professional Development,,,,,1,2,3,,Professional development,Quarterly,Afternoon during work hours,
156,,Complete,,FL,Professional Development,Mentoring,Cross-functional networking,,,4,5,3,,Professional development,Quarterly,Afternoon during work hours,
80,,Partial,Austin,TX,Professional Development,,,,,4,5,2,,Professional development,Quarterly,Afternoon during work hours,
85,,Complete,,FL,,,,,"I wish I had time, but I'm too busy",3,4,5,,Professional development,Quarterly,After 5:00 pm,
40,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,2,3,1,,Professional development,Quarterly,Over the lunch hour,
47,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,1,3,2,,Professional development,Quarterly,Over the lunch hour,"Possibly help raise awareness of smaller, lesser known charities that are impportant to employees.  "
107,,Partial,,FL,Professional Development,Mentoring,Cross-functional networking,,,1,3,2,,Professional development,Quarterly,Afternoon during work hours,
83,,Complete,Austin,TX,,,,,"I wish I had time, but I'm too busy",3,4,5,,Sense of belonging,Quarterly,Afternoon during work hours,no time but like the idea
61,,Complete,,FL,,,,Social activities & events,,2,4,5,,Sense of belonging,Quarterly,Afternoon during work hours,
104,,Complete,,FL,,,,Social activities & events,,2,3,1,,Sense of belonging,Quarterly,Afternoon during work hours,
70,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,3,2,1,,Sense of belonging,Quarterly,Afternoon during work hours,Allow for more employees to travel to conventions for personal growth.
145,,Complete,,FL,Professional Development,Mentoring,,,"I wish I had time, but I'm too busy",3,4,1,,Sense of belonging,Quarterly,Afternoon during work hours,"EAG activities and the value they create are only valuable if they are prioritized by leadership as well. These activities can't be a ""check the box"" for leadership. They have to believe in the value of sense of community within the organization. That will ultimately drive more productivity. "
146,,Complete,,,Professional Development,,Cross-functional networking,,"I wish I had time, but I'm too busy",1,2,3,,Sense of belonging,Quarterly,Over the lunch hour,Hmmm
89,,Partial,,FL,Professional Development,Mentoring,,Social activities & events,,,,5,,Sense of belonging,Quarterly,Afternoon during work hours,More social events please
147,,Partial,,FL,,Mentoring,,Social activities & events,"I wish I had time, but I'm too busy",4,3,5,,Sense of belonging,Quarterly,After 5:00 pm,
11,,Complete,,FL,Professional Development,Mentoring,,Social activities & events,,3,2,1,,Sense of belonging,Quarterly,Afternoon during work hours,
128,,Complete,Denver,CO,Professional Development,Mentoring,,Social activities & events,,2,3,1,,Sense of belonging,Quarterly,Afternoon during work hours,
124,,Complete,Cape Girardeau,MO,,,,,"I wish I had time, but I'm too busy",1,4,5,,Sense of belonging,Quarterly,Afternoon during work hours,
93,,Complete,,FL,Professional Development,,Cross-functional networking,Social activities & events,,1,2,3,,Sense of belonging,Quarterly,Afternoon during work hours,
102,,Complete,,FL,Professional Development,Mentoring,Cross-functional networking,,,1,5,2,,Sense of belonging,Quarterly,Afternoon during work hours,social medica might be a great way to connect with others that do not want to partake in person
56,,Complete,,FL,,,,Social activities & events,,3,5,4,,Sense of belonging,Quarterly,Over the lunch hour,sports teams/leagues
53,,Complete,,,,Mentoring,Cross-functional networking,Social activities & events,,2,3,1,,Sense of belonging,Quarterly,Over the lunch hour,Too long of a story to post here.
45,,Partial,,FL,Professional Development,,Cross-functional networking,Social activities & events,,2,,1,,Sense of belonging,Quarterly,Afternoon during work hours,We need opportunities to get to know others outside of our departments.
55,,Partial,,FL,Professional Development,,,Social activities & events,,,3,4,,Sense of belonging,Quarterly,Afternoon during work hours,
