Response ID,City,State/Region,Professional Development,Monitoring,Cross-functional networking,Social activities & events,"I wish I had time, but I'm too busy",Clubs,Sports Leagues,Social Outings,Other interested Activities,Focus Areas in Future,Preferred Frequency,Preferred Hours,additional ideas or requests.
90,,FL,Professional Development,,Cross-functional networking,,,5,1,4,,Engagement & culture,Quarterly,Afternoon during work hours,
119,,FL,,,Cross-functional networking,Social activities & events,,3,2,1,,Engagement & culture,Quarterly,Over the lunch hour,
152,Nashville,TN,Professional Development,,Cross-functional networking,Social activities & events,,4,3,5,,Engagement & culture,Monthly,Over the lunch hour,
159,,FL,Professional Development,Mentoring,,Social activities & events,,4,3,5,,Other - Write In (Required),Quarterly,Afternoon during work hours,
192,,FL,,,,,"I wish I had time, but I'm too busy",3,4,5,,Engagement & culture,Annually,Over the lunch hour,
50,,FL,,Mentoring,Cross-functional networking,Social activities & events,,2,3,5, company gatherings.,Engagement & culture,Monthly,After 5:00 pm,
81,Plymouth,MI,Professional Development,Mentoring,,,,4,5,3,,Engagement & culture,Quarterly,Afternoon during work hours,
32,Denver,CO,,,,Social activities & events,,3,5,4,,Sense of belonging,Monthly,Afternoon during work hours,
1,,FL,,,,,,2,4,3,,,,,
9,,FL,Professional Development,,Cross-functional networking,Social activities & events,,3,4,5,,Professional development,Monthly,Afternoon during work hours,
11,,FL,Professional Development,Mentoring,,Social activities & events,,3,2,1,,Sense of belonging,Quarterly,Afternoon during work hours,
15,,FL,,,,Social activities & events,,3,4,5,,Sense of belonging,Monthly,Afternoon during work hours,
30,,FL,Professional Development,,,Social activities & events,,3,4,5,,Engagement & culture,Quarterly,Afternoon during work hours,
31,,FL,Professional Development,,Cross-functional networking,Social activities & events,,1,2,4,,Engagement & culture,Quarterly,Afternoon during work hours,
46,,FL,Professional Development,,,Social activities & events,"I wish I had time, but I'm too busy",3,4,5,,Professional development,Monthly,Over the lunch hour,
64,,FL,Professional Development,Mentoring,,Social activities & events,,5,4,3,,Engagement & culture,Quarterly,After 5:00 pm,
73,,FL,Professional Development,,Cross-functional networking,Social activities & events,,1,4,5,,Professional development,No preference,Afternoon during work hours,
92,,FL,Professional Development,,Cross-functional networking,Social activities & events,,1,3,2,,Professional development,Monthly,Over the lunch hour,
96,,FL,Professional Development,,Cross-functional networking,Social activities & events,,1,2,3,,Professional development,Monthly,Over the lunch hour,
100,,FL,,Mentoring,Cross-functional networking,Social activities & events,,2,3,1,,Engagement & culture,Monthly,After 5:00 pm,
101,,FL,,,,,"I wish I had time, but I'm too busy",2,1,4,,Professional development,Monthly,Over the lunch hour,
110,Cape Girardeau,MO,,,,,"I wish I had time, but I'm too busy",2,3,5,,Professional development,Annually,Afternoon during work hours,
114,Austin,TX,,Mentoring,,,,5,3,4,,Professional development,Quarterly,Over the lunch hour,
123,,FL,Professional Development,Mentoring,Cross-functional networking,,,5,3,4,,Engagement & culture,Monthly,After 5:00 pm,
127,,FL,,,,Social activities & events,,4,3,5,,Engagement & culture,Monthly,After 5:00 pm,
128,Denver,CO,Professional Development,Mentoring,,Social activities & events,,2,3,1,,Sense of belonging,Quarterly,Afternoon during work hours,
134,,FL,,,,,"I wish I had time, but I'm too busy",4,3,5,,Engagement & culture,No preference,Over the lunch hour,
160,Austin,TX,Professional Development,Mentoring,,Social activities & events,,3,1,2,,Professional development,Quarterly,After 5:00 pm,
164,Franklin,TN,Professional Development,Mentoring,,Social activities & events,,3,4,5,,Engagement & culture,Quarterly,After 5:00 pm,
170,,,Professional Development,Mentoring,,,"I wish I had time, but I'm too busy",1,4,2,,Engagement & culture,Quarterly,Over the lunch hour,
172,Nashville,TN,Professional Development,Mentoring,Cross-functional networking,,,2,3,1,,Engagement & culture,Monthly,Afternoon during work hours,
184,,FL,Professional Development,,Cross-functional networking,Social activities & events,,3,2,1,,Engagement & culture,Monthly,After 5:00 pm,
190,,FL,Professional Development,Mentoring,,Social activities & events,,1,3,2,,Sense of belonging,Quarterly,Afternoon during work hours,
151,,FL,Professional Development,,,,,5,4,3,I work remotely,Professional development,No preference,Over the lunch hour,
25,,FL,Professional Development,,Cross-functional networking,Social activities & events,,3,4,5,,Engagement & culture,Monthly,Afternoon during work hours,
171,,FL,Professional Development,Mentoring,,Social activities & events,,3,4,5,,Sense of belonging,Monthly,After 5:00 pm,
188,,FL,Professional Development,Mentoring,,,"I wish I had time, but I'm too busy",4,2,1,,Engagement & culture,No preference,Afternoon during work hours,
173,,FL,Professional Development,,,Social activities & events,"I wish I had time, but I'm too busy",2,4,1,Walking group.  We used to have one.,Engagement & culture,Monthly,Over the lunch hour,
22,Austin,TX,Professional Development,,,,,3,5,4,,Engagement & culture,Quarterly,Afternoon during work hours,
38,,FL,,,,Social activities & events,,2,1,3,,Engagement & culture,Monthly,Afternoon during work hours,
99,,FL,Professional Development,,,,,1,2,3,,Professional development,Quarterly,Afternoon during work hours,
124,Cape Girardeau,MO,,,,,"I wish I had time, but I'm too busy",1,4,5,,Sense of belonging,Quarterly,Afternoon during work hours,
156,,FL,Professional Development,Mentoring,Cross-functional networking,,,4,5,3,,Professional development,Quarterly,Afternoon during work hours,
187,,FL,Professional Development,,,Social activities & events,"I wish I had time, but I'm too busy",2,3,1,,Professional development,Quarterly,Afternoon during work hours,
36,,FL,,,,Social activities & events,,4,2,3,community service,Other - Write In (Required),No preference,After 5:00 pm,
24,,FL,Professional Development,Mentoring,Cross-functional networking,,,2,5,4,lunch and learn,Engagement & culture,Quarterly,Over the lunch hour,
27,,FL,Professional Development,,,,,1,3,2,,Engagement & culture,Quarterly,Afternoon during work hours,
40,,FL,Professional Development,,Cross-functional networking,Social activities & events,,2,3,1,,Professional development,Quarterly,Over the lunch hour,
59,,FL,Professional Development,,,Social activities & events,"I wish I had time, but I'm too busy",3,2,1,,Other - Write In (Required),Quarterly,Afternoon during work hours,
74,,FL,Professional Development,,Cross-functional networking,Social activities & events,,3,2,1,,Sense of belonging,Monthly,After 5:00 pm,
85,,FL,,,,,"I wish I had time, but I'm too busy",3,4,5,,Professional development,Quarterly,After 5:00 pm,
93,,FL,Professional Development,,Cross-functional networking,Social activities & events,,1,2,3,,Sense of belonging,Quarterly,Afternoon during work hours,
103,,FL,Professional Development,Mentoring,,Social activities & events,,3,2,5,,Engagement & culture,No preference,Afternoon during work hours,
139,,FL,,,,,"I wish I had time, but I'm too busy",4,3,2,,Professional development,No preference,Afternoon during work hours,
163,Austin,TX,Professional Development,,Cross-functional networking,Social activities & events,,2,3,1,,Engagement & culture,Quarterly,Afternoon during work hours,
72,,FL,Professional Development,Mentoring,Cross-functional networking,,,2,3,1,,Professional development,No preference,Afternoon during work hours,
33,,FL,Professional Development,Mentoring,Cross-functional networking,,,2,1,3,I am remote.,Engagement & culture,Quarterly,Afternoon during work hours,
2,,FL,Professional Development,,,Social activities & events,"I wish I had time, but I'm too busy",2,3,1,Would like to see leaders encourage participation in the events that take place. ,Engagement & culture,Quarterly,Afternoon during work hours,
165,,FL,,,Cross-functional networking,Social activities & events,,1,2,3,,Engagement & culture,Quarterly,Over the lunch hour,
143,,FL,Professional Development,,Cross-functional networking,Social activities & events,,3,2,1,,Engagement & culture,Quarterly,After 5:00 pm,
