Confirmation Number,Invitee Status,Original Response Date (GMT),Registration Type,Sessions (All)
2QNGTPTM4C5,Accepted,2024-04-30T17:02:02.000Z,Member Full Conference Registration,"Innovation in Healthcare, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Strategies for Addressing Workplace Violence in Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Accelerating Value by Resetting the Key Fundamentals, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
NCNSP48CB6T,Accepted,2024-05-03T02:01:32.000Z,Member Full Conference Registration,"2024 Executive Pharmacy Exchange, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Unlocking the Vault: A Health System Odyssey on High-Cost Medications—Formulary Landscape, Exhibit Hall, Yes, I will attend the Afternoon General Session, Highlighting the “Special” in Specialty Pharmacy GPO, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, It's a Small Copay After All—Launching a Central MPAP (Medication Patient-Assistance-Program) Team, How the Rx Inventory Turns—A Centralized Influence, Yes, I will attend the Closing General Session"
JPNH6ZZCX9Q,Accepted,2024-04-26T15:45:58.000Z,Member Full Conference Registration,"Tech Humanist: How to Make Technology Better for Business & Better for Humans, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, No, I will not attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Maximizing Membership: Exploring Support, Technology Solutions & Portal Perks, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
BWNQFFV8GNH,Accepted,2024-05-13T18:44:29.000Z,Member Full Conference Registration,"2024 Executive Pharmacy Exchange, Revitalizing Workforce Engagement & Retention: Modernizing the Pharmacy Career Ladder, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, 340B In The Field, Exhibit Hall, Yes, I will attend the Afternoon General Session, Highlighting the “Special” in Specialty Pharmacy GPO, Considerations of Clinic Conversions to HODs for 340B Expansion Opportunities, Exhibit Hall & Reception, Pharmacy Revolution: Innovating Prescription Fulfillment With In-clinic Micropharmacies, Operationalizing Guideline Medication Management-Exploration of Collaborative Practice Pharmacist, Yes, I will attend the Closing General Session"
,Declined,2024-05-30T17:25:03.000Z,Member Full Conference Registration,
YDNV7587HJZ,Accepted,2024-05-31T17:28:03.000Z,Member Full Conference Registration,"Innovation in Healthcare, Pump the Breaks: A Focus on Infusion Device Safety, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Unlocking the Vault: A Health System Odyssey on High-Cost Medications—Formulary Landscape, Exhibit Hall, Yes, I will attend the Afternoon General Session, AI 101: Using AI to Accelerate Analysis & Sourcing in Purchased Services, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, It's a Small Copay After All—Launching a Central MPAP (Medication Patient-Assistance-Program) Team, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
SNNT9LDYB2L,Accepted,2024-05-29T22:19:07.000Z,Member Full Conference Registration,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, Yes, I will attend the Afternoon General Session, Maximizing Membership: Exploring Support, Technology Solutions & Portal Perks, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
62NPRP37BGH,Accepted,2024-05-30T18:57:32.000Z,Member Full Conference Registration,"Innovation in Healthcare, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, Yes, I will attend the Afternoon General Session, Money Hunt—Finding Savings & Revenue by Looking Through a “System” Lens, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
C7N3XK3V235,Accepted,2024-04-26T15:54:36.000Z,Complimentary Representatives,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, On the Path to Net Zero—Lessons Learned From Three Healthcare Organizations, Exhibit Hall, No, I will not attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, No, I will not attend the Closing General Session"
HYNKHKQV5ZH,Accepted,2024-05-07T01:25:57.000Z,Member Full Conference Registration,"Dapaglifozin, Sacubitril, Ivabradine: Word Scrabble?! A Closer Look at New Heart Failure Therapies, Med ‘Wreck’ to Med Rec: Medication Reconciliation Quality Improvement & Program Development, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, It’s About Time: Impact of Vancomycin AUC Dosing on Patient Outcomes & Pharmacy Workflow, Exhibit Hall, Yes, I will attend the Afternoon General Session, When Every Minute Matters—Creative Solutions to Optimize Code Carts, How Do You Reflex? Evaluation of UA Reflex Parameters to Promote Antimicrobial Stewardship, Exhibit Hall & Reception, Pharmacy Technicians on Backorder: A Combination Approach to Combat Your Technician Shortages, How the Rx Inventory Turns—A Centralized Influence, Yes, I will attend the Closing General Session"
RZN45DBY2QH,Accepted,2024-05-13T16:34:50.000Z,Complimentary Representatives,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Yes, I will attend the Closing General Session"
8ZN3JZK7993,Accepted,2024-04-26T11:06:05.000Z,Member Full Conference Registration,"Innovation in Healthcare, Innovation, New Technology & the Impact of Member Voice at HealthTrust, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, On the Path to Net Zero—Lessons Learned From Three Healthcare Organizations, Exhibit Hall, Yes, I will attend the Afternoon General Session, Money Hunt—Finding Savings & Revenue by Looking Through a “System” Lens, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, Pharmacy Revolution: Innovating Prescription Fulfillment With In-clinic Micropharmacies, Cultivating Collaborative Teams to Build a Coalition for Rapid Organizational Decision-making, Yes, I will attend the Closing General Session"
,No Response,,,
ZHNF5C6FHSK,Accepted,2024-04-26T12:43:41.000Z,Complimentary Representatives,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, I will not participate in a session on Tuesday, August 13 - 9:45 AM - 10:45 AM, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Yes, I will attend the Closing General Session"
,No Response,,,
9PNXRGNSTWB,Accepted,2024-05-30T12:17:38.000Z,Member Full Conference Registration,"Innovation in Healthcare, Physicians in Value Analysis: Partnerships to Address PPI, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, Yes, I will attend the Afternoon General Session, AI 101: Using AI to Accelerate Analysis & Sourcing in Purchased Services, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, Pharmacy Revolution: Innovating Prescription Fulfillment With In-clinic Micropharmacies, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
9VNV8M5XSQH,Accepted,2024-05-29T16:08:03.000Z,Complimentary Representatives,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, No, I will not attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, No, I will not attend the Closing General Session"
,No Response,,,
,Visited,2024-04-26T17:06:45.000Z,,
,Declined,2024-05-08T20:44:22.000Z,Speaker - Member,
RFNWXK6626W,Accepted,2024-04-29T21:10:23.000Z,HCA Conference Only Pass,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, I will not participate in a session on Tuesday, August 13 - 9:45 AM - 10:45 AM, Exhibit Hall, No, I will not attend the Afternoon General Session, I will not participate in a session on Tuesday, August 13 - 2:45 PM - 3:15 PM, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, I will not participate in a session on Wednesday, August 14 - 8:20 AM - 9:20 AM, Yes, I will attend the Closing General Session"
TJN69YKHYLP,Accepted,2024-04-29T21:19:03.000Z,Member Full Conference Registration,"Value Analysis Journey: From Concept to Reality, Innovation, New Technology & the Impact of Member Voice at HealthTrust, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, Yes, I will attend the Afternoon General Session, Money Hunt—Finding Savings & Revenue by Looking Through a “System” Lens, How to Successfully Navigate Cardiovascular Trends, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, No, I will not attend the Closing General Session"
,No Response,,,
GGNXFS6FGLH,Accepted,2024-05-16T19:37:05.000Z,Exhibitor Representative,"Innovation in Healthcare, Closing the Gaps Within Health Disparity: Priorities & Partnerships, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, On the Path to Net Zero—Lessons Learned From Three Healthcare Organizations, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, Pharmacy Revolution: Innovating Prescription Fulfillment With In-clinic Micropharmacies, Yes, I will attend the Closing General Session"
N7NH7ST39HQ,Accepted,2024-04-30T14:55:19.000Z,Complimentary Representatives,"Innovation in Healthcare, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, Pharmacy Revolution: Innovating Prescription Fulfillment With In-clinic Micropharmacies, Yes, I will attend the Closing General Session"
,No Response,,,
RDN2J3W5G6H,Accepted,2024-04-26T14:27:14.000Z,Member Award Winner,"Innovation in Healthcare, Innovation, New Technology & the Impact of Member Voice at HealthTrust, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Money Hunt—Finding Savings & Revenue by Looking Through a “System” Lens, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, It's a Small Copay After All—Launching a Central MPAP (Medication Patient-Assistance-Program) Team, Cultivating Collaborative Teams to Build a Coalition for Rapid Organizational Decision-making, Yes, I will attend the Closing General Session"
ZDNSTXFG533,Accepted,2024-04-30T16:40:51.000Z,Member Full Conference Registration,"2024 Executive Pharmacy Exchange, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, 340B In The Field, Exhibit Hall, Yes, I will attend the Afternoon General Session, Highlighting the “Special” in Specialty Pharmacy GPO, How Do You Reflex? Evaluation of UA Reflex Parameters to Promote Antimicrobial Stewardship, Exhibit Hall & Reception, Rhythm or Rate & When to Anti-coagulate: Changes in 2024 AFib Guidelines, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
4TNHV9XRG9Q,Accepted,2024-04-26T18:44:50.000Z,Complimentary Representatives,"Innovation in Healthcare, Closing the Gaps Within Health Disparity: Priorities & Partnerships, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, On the Path to Net Zero—Lessons Learned From Three Healthcare Organizations, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Yes, I will attend the Closing General Session"
,Declined,2024-05-21T17:27:02.000Z,HCA Member Full Conference,
,Declined,2024-05-09T17:36:33.000Z,Member Full Conference Registration,
W4NTG8ZNSYX,Accepted,2024-05-15T13:47:10.000Z,Member Full Conference Registration,"Tech Humanist: How to Make Technology Better for Business & Better for Humans, Innovation, New Technology & the Impact of Member Voice at HealthTrust, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Leveraging Analytics to Unlock Value in PPI Implants, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, I will not participate in a session on Wednesday, August 14 - 8:20 AM - 9:20 AM, Yes, I will attend the Closing General Session"
MJNC7B2RX9K,Accepted,2024-05-01T12:49:58.000Z,Member Full Conference Registration,"Innovation in Healthcare, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Strategies for Addressing Workplace Violence in Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, When Every Minute Matters—Creative Solutions to Optimize Code Carts, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Cultivating Collaborative Teams to Build a Coalition for Rapid Organizational Decision-making, No, I will not attend the Closing General Session"
SRN64K2KGNJ,Accepted,2024-05-09T22:58:17.000Z,Member Full Conference Registration,"Human Trafficking & Forced Labor: The Nexus to U.S. Healthcare & Supply Chain, Closing the Gaps Within Health Disparity: Priorities & Partnerships, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, On the Path to Net Zero—Lessons Learned From Three Healthcare Organizations, Exhibit Hall, Yes, I will attend the Afternoon General Session, Money Hunt—Finding Savings & Revenue by Looking Through a “System” Lens, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
YDN3BHW6FVS,Accepted,2024-04-30T15:12:57.000Z,Member Full Conference Registration,"2024 Executive Pharmacy Exchange, Med ‘Wreck’ to Med Rec: Medication Reconciliation Quality Improvement & Program Development, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, It’s About Time: Impact of Vancomycin AUC Dosing on Patient Outcomes & Pharmacy Workflow, Exhibit Hall, Yes, I will attend the Afternoon General Session, Money Hunt—Finding Savings & Revenue by Looking Through a “System” Lens, How Do You Reflex? Evaluation of UA Reflex Parameters to Promote Antimicrobial Stewardship, Exhibit Hall & Reception, Rhythm or Rate & When to Anti-coagulate: Changes in 2024 AFib Guidelines, Cultivating Collaborative Teams to Build a Coalition for Rapid Organizational Decision-making, Yes, I will attend the Closing General Session"
,No Response,,,
GKNB2GC2HVW,Accepted,2024-04-26T13:38:42.000Z,Staff Conference Only Pass,"Innovation in Healthcare, Innovation, New Technology & the Impact of Member Voice at HealthTrust, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Maximizing Membership: Exploring Support, Technology Solutions & Portal Perks, A Strategic Approach to Managing Orthopedic Implant Service Lines, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
,Visited,2024-05-17T00:09:11.000Z,,
35NHX4N9B43,Accepted,2024-04-26T17:56:37.000Z,Staff Full Conference,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, I will not participate in a session on Tuesday, August 13 - 9:45 AM - 10:45 AM, Exhibit Hall, Yes, I will attend the Afternoon General Session, I will not participate in a session on Tuesday, August 13 - 2:45 PM - 3:15 PM, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, I will not participate in a session on Wednesday, August 14 - 8:20 AM - 9:20 AM, Yes, I will attend the Closing General Session"
,Declined,2024-05-22T17:27:52.000Z,Advisory Board Full Conference,
M9NCFNXZGPZ,Accepted,2024-05-31T13:47:40.000Z,Member Full Conference Registration,"2024 Executive Pharmacy Exchange, Closing the Gaps Within Health Disparity: Priorities & Partnerships, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Unlocking the Vault: A Health System Odyssey on High-Cost Medications—Formulary Landscape, Exhibit Hall, Yes, I will attend the Afternoon General Session, Highlighting the “Special” in Specialty Pharmacy GPO, How Do You Reflex? Evaluation of UA Reflex Parameters to Promote Antimicrobial Stewardship, Exhibit Hall & Reception, Rhythm or Rate & When to Anti-coagulate: Changes in 2024 AFib Guidelines, How the Rx Inventory Turns—A Centralized Influence, No, I will not attend the Closing General Session"
9QNR78L483T,Accepted,2024-04-26T17:33:00.000Z,Complimentary Representatives,"Innovation in Healthcare, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, On the Path to Net Zero—Lessons Learned From Three Healthcare Organizations, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, Pharmacy Revolution: Innovating Prescription Fulfillment With In-clinic Micropharmacies, Yes, I will attend the Closing General Session"
RZNKTGC7K9T,Accepted,2024-05-02T19:27:38.000Z,Complimentary Representatives,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, No, I will not attend the Opening General Session, I will not participate in a session on Tuesday, August 13 - 9:45 AM - 10:45 AM, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Yes, I will attend the Closing General Session"
,No Response,,,
WDN5MTHHVKY,Accepted,2024-04-26T23:29:54.000Z,Complimentary Representatives,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, I will not participate in a session on Tuesday, August 13 - 9:45 AM - 10:45 AM, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Yes, I will attend the Closing General Session"
,No Response,,,
CCN3XGTMLQY,Accepted,2024-05-24T12:22:28.000Z,Conference-Only Pass,"Innovation in Healthcare, Physicians in Value Analysis: Partnerships to Address PPI, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, Yes, I will attend the Afternoon General Session, Leveraging Analytics to Unlock Value in PPI Implants, A Strategic Approach to Managing Orthopedic Implant Service Lines, Exhibit Hall & Reception, Pharmacy Revolution: Innovating Prescription Fulfillment With In-clinic Micropharmacies, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
LTN9BZZVWMN,Accepted,2024-05-31T16:42:05.000Z,Complimentary Representatives,"Tech Humanist: How to Make Technology Better for Business & Better for Humans, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, On the Path to Net Zero—Lessons Learned From Three Healthcare Organizations, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, Pharmacy Revolution: Innovating Prescription Fulfillment With In-clinic Micropharmacies, Yes, I will attend the Closing General Session"
